Air1,,Benzene,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
353.9941711,-9.188546392E-005,353.9941711,0.00041978847,
353.488678,-4.219207767E-005,353.488678,0.0005656919093,
352.9831543,-0.0001516652846,352.9831543,0.0005241446197,
352.5164795,-1.397840037E-006,352.5164795,0.000565510476,
352.0108948,-0.0001621711999,352.0108948,0.000323643384,
351.505249,-2.811125159E-005,351.505249,0.0005099421833,
350.9996033,-0.0001628439786,350.9996033,0.0006208007107,
350.4938965,-0.0001561678509,350.4938965,0.000435749942,
349.9881592,-0.0001566336286,349.9881592,0.0004282873706,
349.4823914,-0.0001436951279,349.4823914,0.0004503904493,
349.0154724,2.332388431E-005,349.0154724,0.0005481705302,
348.5096436,-8.277544111E-005,348.5096436,0.0004658088437,
348.0037842,-8.883155533E-005,348.0037842,0.0004564540868,
347.4978638,-0.0004152711772,347.4978638,0.0003836441319,
346.9919128,-0.0001782659529,346.9919128,0.0004337288265,
346.4859314,-0.0001476284669,346.4859314,0.0004051749129,
346.0188599,-0.0002081250859,346.0188599,0.0002264577051,
345.5128174,-0.0002176464477,345.5128174,0.0004501572403,
345.0067139,-1.340872495E-005,345.0067139,0.0005610782537,
344.5005798,-0.0001783694606,344.5005798,0.0003271665191,
343.9944458,-0.0002358089114,343.9944458,0.0003565702355,
343.4882813,-0.0002259257308,343.4882813,0.0004252298095,
342.9820251,-4.767933569E-005,342.9820251,0.0002998371201,
342.5147095,-9.90284243E-005,342.5147095,0.0004843893985,
342.0084229,-0.0001077240377,342.0084229,0.0003128410317,
341.5021057,-0.0001163677225,341.5021057,0.0006017995765,
340.9957275,-0.0003130038385,340.9957275,0.0004608334566,
340.4893494,-0.0003300759417,340.4893494,0.0002647647052,
339.9829102,-0.0001586002472,339.9829102,0.0004971915623,
339.5154419,-0.0001477319747,339.5154419,0.000368176843,
339.0089111,1.138997504E-005,339.0089111,0.0004218354588,
338.5024109,-0.0001022892975,338.5024109,0.0004643836,
337.9958496,-1.744679139E-005,337.9958496,0.0006290443125,
337.4891968,-0.0002346187975,337.4891968,0.0003436945262,
336.982605,-0.0003853228409,336.982605,0.0002292807621,
336.5148926,-2.39697456E-005,336.5148926,0.0004723650927,
336.0081787,-0.0003766327864,336.0081787,0.0001788570953,
335.5014648,-2.205428427E-005,335.5014648,0.0003499380255,
334.9946899,-0.0001721075823,334.9946899,0.0002574604878,
334.4878845,-0.0001237172983,334.4878845,0.0003841882281,
333.9810486,-0.0002486929297,333.9810486,0.0002073961223,
333.5131836,-0.0002401553793,333.5131836,0.0001641221606,
333.0062866,-0.0002451744513,333.0062866,0.000473531225,
332.4993591,-5.953364598E-005,332.4993591,0.0003045257181,
331.9923706,-0.000235343221,331.9923706,0.000417663774,
331.4853821,-0.000211902603,331.4853821,0.0004289869685,
331.017334,-0.0001527521235,331.017334,0.0004494316818,
