Rh 110_Etho_ex470nm_55slits_900V_VVOrient,,Rh 110_Etho_ex470nm_55slits_900V_VHOrient1,,Rh 110_Etho_ex470nm_55slits_900V_MAOrient2,,
Wensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
520,627.4588623,518.9500122,366.8155212,518.9500122,462.8111572,
521.039978,631.7999878,520,367.0727234,520,466.4978943,
521.9400024,624.3216553,521.039978,365.7417297,521.039978,464.6055908,
522.9799805,614.6729126,521.9400024,363.6270142,521.9400024,456.893219,
524.0200195,602.9364624,522.9799805,358.398468,522.9799805,449.2525024,
525.0700073,586.4319458,524.0200195,349.012207,524.0200195,438.6774292,
525.9699707,569.3517456,525.0700073,340.8106384,525.0700073,426.5750427,
527.0100098,554.4578857,525.9699707,329.4546814,525.9699707,413.2024536,
528.0499878,538.5643921,527.0100098,318.8075867,527.0100098,403.1890564,
528.9500122,516.0449219,528.0499878,306.9629822,528.0499878,390.1377563,
530,493.9272766,528.9500122,293.9293213,528.9500122,371.4334717,
531.039978,474.1033325,530,278.2946777,530,356.7453613,
531.9400024,452.5306702,531.039978,267.1365356,531.039978,341.5199585,
532.9799805,428.7253723,531.9400024,251.6914215,531.9400024,328.7403564,
534.0200195,407.6125488,532.9799805,230.2926788,532.9799805,311.5961304,
535.0700073,387.632019,535.0700073,213.0566864,534.0200195,295.3752136,
535.9699707,365.7810669,535.9699707,203.0994263,535.0700073,277.9558411,
537.0100098,342.117157,537.0100098,193.0849609,535.9699707,262.2581177,
538.0499878,327.2383118,538.0499878,182.7780151,537.0100098,249.4738922,
538.9500122,312.5022278,538.9500122,173.2163086,538.0499878,238.1315613,
540,297.7505493,540,165.5014496,538.9500122,225.8651886,
541.0200195,277.0628662,541.0200195,155.8143158,540,213.1437988,
542.0499878,260.9959106,542.0499878,148.3996277,541.0200195,201.1439972,
542.9400024,247.4612122,542.9400024,140.337616,542.0499878,190.7970276,
543.9699707,238.8475037,543.9699707,132.7097473,542.9400024,181.853302,
545,228.8115082,545,124.621109,543.9699707,171.3145905,
546.0200195,219.789093,546.0200195,118.0483856,545,163.6961365,
547.0499878,208.1494598,547.0499878,113.20755,546.0200195,154.5235291,
547.9400024,198.1195831,547.9400024,107.9936066,547.0499878,148.6059265,
548.9699707,188.7026978,548.9699707,102.1769257,547.9400024,140.2268066,
550,181.876236,550,96.21194458,548.9699707,135.2419434,
,,551.039978,91.88089752,550,128.3530731,
,,551.9400024,90.26920319,551.039978,123.6717224,
,,552.9799805,88.94735718,551.9400024,120.0474319,
,,554.0200195,84.95359039,552.9799805,117.1846466,
,,555.0700073,80.45787048,554.0200195,111.9157181,
,,555.9699707,76.69789886,555.0700073,106.131424,
,,557.0100098,73.31593323,555.9699707,102.3731461,
,,558.0499878,70.93878937,557.0100098,100.0593262,
,,558.9500122,69.18894196,558.0499878,96.76416016,
,,560,67.68637085,558.9500122,94.16468811,
,,561.0200195,64.63902283,560,90.32724762,
,,562.0499878,62.42264175,561.0200195,87.33087158,
,,562.9400024,59.54436874,562.0499878,84.40722656,
,,563.9699707,57.22080994,562.9400024,79.97032928,
,,565,55.76361847,563.9699707,74.89064026,
,,566.0200195,53.55466461,565,72.104599,
,,,,566.0200195,71.61564636,
,,,,567.0499878,68.79013824,
,,,,567.9400024,66.31582642,
,,,,568.9699707,64.31732178,
,,,,570,63.47749329,
,,,,571.0200195,59.50519943,
,,,,572.0499878,56.71612167,
,,,,572.9400024,53.94555664,
,,,,573.9699707,51.13863373,
,,,,575,47.61911392,
,,,,57avelength (nm),Int6.0200195,45.66573715,
,,,,577.0499878,44.17160416,
,,,,577.9400024,42.03311157,
,,,,578.9699707,40.10485458,
,,,,580,37.56235504,
,,,,581.0200195,35.09715271,
,,,,582.0499878,33.35582733,
,,,,582.9400024,31.93063164,
,,,,583.9699707,31.30810738,
,,,,585,30.21885681,
,,,,586.0200195,28.30409431,
,,,,587.0499878,25.72233963,
,,,,587.9400024,25.13026619,
,,,,588.9699707,24.42473984,
,,,,590,23.02142715,
,,,,591.0200195,21.28539467,
,,,,592.0499878,20.4624939,
,,,,592.9400024,19.03884125,
,,,,593.9699707,18.19264603,
,,,,595,17.57177925,
,,,,596.0200195,16.87000847,
,,,,597.0499878,15.95139313,
,,,,597.9400024,15.76078033,

Rh 110_Etho_ex470nm_55slits_900V_VVOrient,
Rh 110_Etho_ex470nm_55slits_900V_VVOrient
Collection Time: 1/30/25 2:16:52 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   900
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 1/30/25 1:37:27 PM
Method Modifications:
PMT Volts Changed: 1/30/25 1:54:31 PM, Old:600, New:900
User Delta Increment Changed: 1/30/25 1:54:31 PM, Old:  10.00, New:   0.15
Smoothing Changed: 1/30/25 1:54:31 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 1/30/25 1:54:31 PM, Old: 600, New: 900
Excitation Wavelength Changed: 1/30/25 1:54:31 PM, Old: 350.00, New: 470.00
Emission Wavelength Changed: 1/30/25 1:54:31 PM, Old: 400.00, New: 480.00
Ave. time (s): Changed: 1/30/25 1:55:13 PM, Old:0.10000, New:0.50000
End Method Modifications

Rh 110_Etho_ex470nm_55slits_900V_VHOrient1,
Rh 110_Etho_ex470nm_55slits_900V_VHOrient1
Collection Time: 1/30/25 2:18:02 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   900
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 1/30/25 1:37:27 PM
Method Modifications:
PMT Volts Changed: 1/30/25 1:54:31 PM, Old:600, New:900
User Delta Increment Changed: 1/30/25 1:54:31 PM, Old:  10.00, New:   0.15
Smoothing Changed: 1/30/25 1:54:31 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 1/30/25 1:54:31 PM, Old: 600, New: 900
Excitation Wavelength Changed: 1/30/25 1:54:31 PM, Old: 350.00, New: 470.00
Emission Wavelength Changed: 1/30/25 1:54:31 PM, Old: 400.00, New: 480.00
Ave. time (s): Changed: 1/30/25 1:55:13 PM, Old:0.10000, New:0.50000
End Method Modifications

Rh 110_Etho_ex470nm_55slits_900V_MAOrient2,
Rh 110_Etho_ex470nm_55slits_900V_MAOrient2
Collection Time: 1/30/25 2:19:52 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   900
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 1/30/25 1:37:27 PM
Method Modifications:
PMT Volts Changed: 1/30/25 1:54:31 PM, Old:600, New:900
User Delta Increment Changed: 1/30/25 1:54:31 PM, Old:  10.00, New:   0.15
Smoothing Changed: 1/30/25 1:54:31 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 1/30/25 1:54:31 PM, Old: 600, New: 900
Excitation Wavelength Changed: 1/30/25 1:54:31 PM, Old: 350.00, New: 470.00
Emission Wavelength Changed: 1/30/25 1:54:31 PM, Old: 400.00, New: 480.00
Ave. time (s): Changed: 1/30/25 1:55:13 PM, Old:0.10000, New:0.50000
End Method Modifications

